ne_ip,location,type,ssa,phase,ne_name,ne_id,dcc_ip,software_version,hardware_version,pcb_version,last_upload_time,orig_location
10.121.98.3,KAKOSHI B1,TN705B,GJ_SSA MEH,PH3,10.121.98.3_KAKOSHI B1_TN705B_GJ_SSA MEH_PH3,e=15585,10.121.98.3,2.9.1 load2.9.1_p13,B1,2.0,2026-09-11 01:09:04,GJ_MEHSANA SSA
10.121.16.26,MAKARPURA N2,TN705B,GJ_SSA VDR,PH1,10.121.16.26_MAKARPURA N2_TN705B_GJ_SSA VDR_PH1,e=15491,10.121.16.26,2.9.1 load2.9.1_p13,B1,0.0,2026-08-19 01:26:18,GUJ_AHMD WTR_PH3
10.121.100.59,UMARPADA,TN705B,WTR_AM,PH3,10.121.100.59_UMARPADA_TN705B_WTR_AM_PH3,e=15509,10.121.100.59,2.9.1 load2.9.1_p13,B1,2.0,2026-08-03 01:12:30,SSA SURAT_PH3
10.121.15.168,ARTO BAVLA,TN703B,GJ_SSA AM,PH2,10.121.15.168_ARTO BAVLA_TN703B_GJ_SSA AM_PH2,e=17697,10.121.15.168,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-09-12 01:23:08,
10.121.18.244,Old Kudasan,TN705B,GJ_SSA AM,PH3,10.121.18.244_Old Kudasan_TN705B_GJ_SSA AM_PH3,e=19208,10.121.18.244,2.9.1 load2.9.1_p13,B1,0.0,2026-07-09 01:43:23,
10.121.97.67,BAYAD,TN705B,GJ_SSA HMR,PH3,10.121.97.67_BAYAD_TN705B_GJ_SSA HMR_PH3,e=19418,10.121.97.67,2.9.1 load2.9.1_p13,B1,2.0,2026-08-06 01:30:22,
10.121.18.96,CHENPUR-RANIP-BTS,TN703B,GJ_SSA AM,PH2,10.121.18.96_CHENPUR-RANIP-BTS_TN703B_GJ_SSA AM_PH2,e=17696,10.121.18.96,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-08-22 01:18:18,
10.121.25.146,Hasanpur,TN703B,GJ_SSA PNP,PH2,10.121.25.146_Hasanpur_TN703B_GJ_SSA PNP_PH2,e=19477,10.121.25.146,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-09-02 01:26:10,
10.121.68.206,JAMJODHPUR,TN725B,WTR_RJ,PH3,10.121.68.206_JAMJODHPUR_TN725B_WTR_RJ_PH3,e=13396,10.121.68.206,2.9.1 load2.9.1_p13,B1,0.0,2026-09-02 01:13:41,
10.121.16.251,WTPS 2,TN703B,GJ_SSA NAD,PH3,10.121.16.251_WTPS 2_TN703B_GJ_SSA NAD_PH3,e=19614,10.121.16.251,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-21 01:25:10,
