Index,Object Fid,Last Upload Time,NE Name,NE ID,NE Type,DCC IP,Net Mask,Software Version,Hardware Version,PCB Version,Manufacture Date,Location,
871,\10.121.25.93_VALAM EXE_TN703B_GJ_SSA MEH_PH2,2026-09-12 01:35:00,10.121.25.93_VALAM EXE_TN703B_GJ_SSA MEH_PH2,\e=10522,TN703B R2.9.2 Rev.B,10.121.25.93,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ_MEHSANA _SSA,
872,\10.121.97.145_KALAVAD CHOKDI_TN703B_GJ_SSA JMN_PH3,2026-08-31 01:08:01,10.121.97.145_KALAVAD CHOKDI_TN703B_GJ_SSA JMN_PH3,\e=43376,TN703B R2.9.2 Rev.A,10.121.97.145,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
873,\10.121.19.219_HAZIRA-VILLAGE-BTS_TN703B_GJ_SSA SR_PH2,2026-07-26 01:23:02,10.121.19.219_HAZIRA-VILLAGE-BTS_TN703B_GJ_SSA SR_PH2,\e=5270,TN703B R2.9.2 Rev.B,10.121.19.219,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ _SURAT SSA,
874,\10.121.17.210_BHADRA 2_TN725B_GJ_SSA AM_PH3,2026-08-25 01:30:37,10.121.17.210_BHADRA 2_TN725B_GJ_SSA AM_PH3,\e=2061,TN725B R2.9.2,10.121.17.210,,2.9.1 load2.9.1_p13,B1,0,,Guj AHMD SSA,
875,\10.121.17.38_SANATHALI_TN703B_GJ_SSA RJ_PH1,2026-08-13 01:37:05,10.121.17.38_RAMOD_TN703B_GJ_SSA RJ_PH1,\e=5575,TN703B R2.9.2 Rev.A,10.121.17.38,,2.9.1 Rev.A load2.9.1_p14,B1,2,,GUJ _GUJRAT CIRCLE SSA,
876,\10.121.17.212_ISRO BOPAL OLD_TN703B_GJ_SSA AM_PH3,2026-08-04 01:42:22,10.121.17.212_ISRO BOPAL OLD_TN703B_GJ_SSA AM_PH3,\e=19371,TN703B R2.9.2 Rev.B,10.121.17.212,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ -AHM SSA,
877,\10.121.18.81_CHANGODAR_TN705B_GJ_SSA AM_PH1,2026-07-29 01:23:21,10.121.18.81_CHANGODAR_TN705B_GJ_SSA AM_PH1,\e=13562,TN705B R2.9.2,10.121.18.81,,2.9.1 load2.9.1_p13,B1,0,,GUJ_AHM SSA _PH3,
878,\10.121.99.27_SOLDI_TN703B_GJ_SSA SEN_PH3,2026-08-18 01:10:52,10.121.99.27_SOLDI_TN703B_GJ_SSA SEN_PH3,\e=48465,TN703B R2.9.2 Rev.A,10.121.99.27,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
879,\10.121.25.38_SHELAR SHAH BTS_TN703B_GJ_SSA BV_PH3,2026-08-14 01:26:54,10.121.25.38_SHELAR SHAH BTS_TN703B_GJ_SSA BV_PH3,\e=28260,TN703B R2.9.2 Rev.B,10.121.25.38,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
880,\10.121.96.65_Derol_TN705B_GJ_SSA BCH_PH3,2026-08-10 01:00:25,10.121.96.65_Derol_TN705B_GJ_SSA BCH_PH3,\e=14872,TN705B R2.9.2,10.121.96.65,,2.9.1 load2.9.1_p13,B1,2,,GUJ-BHARUCH-PH3,
881,\10.121.17.47_SARDHAR_TN725B_GJ_SSA RJ_PH3,2026-09-06 01:07:56,10.121.17.47_SARDHAR_TN725B_GJ_SSA RJ_PH3,\e=28291,TN725B R2.9.2,10.121.17.47,,2.9.1 load2.9.1_p13,B1,2,,,
882,\10.121.97.143_SADODAR_TN703B_GJ_SSA JMN_PH3,2026-08-18 01:23:54,10.121.97.143_SADODAR_TN703B_GJ_SSA JMN_PH3,\e=28691,TN703B R2.9.2 Rev.B,10.121.97.143,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GJ_SSA JMN_PH3,
883,\10.121.99.223_DGVCL OLD CORPORATE_TN703B_GJ_SSA SR_PH3,2026-09-10 01:06:09,10.121.99.223_DGVCL OLD CORPORATE_TN703B_GJ_SSA SR_PH3,\e=28667,TN703B R2.9.2 Rev.B,10.121.99.223,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
884,\10.121.18.142_New CP Office_TN703B_GJ_SSA AM_PH2,2026-02-28 01:10:02,10.121.18.142_New CP Office_TN703B_GJ_SSA AM_PH2,\e=28874,TN703B R2.9.2 Rev.B,10.121.18.142,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
885,\10.121.19.222_SDB KHJOD_TN705B_GJ_SSA SR_PH3,2026-08-24 01:08:17,10.121.19.222_SDB KHJOD_TN705B_GJ_SSA SR_PH3,\e=46064,TN705B R2.9.2,10.121.19.222,,2.9.1 load2.9.1_p13,B1,2,,,
886,\10.121.20.39_HARIA COLLAGE_TN703B_GJ_SSA JMN_PH3,2026-08-16 01:19:12,10.121.20.39_HARIA COLLAGE_TN703B_GJ_SSA JMN_PH3,\e=43479,TN703B R2.9.2 Rev.A,10.121.20.39,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
887,\10.121.24.72_KANDLA 2_TN703B_GJ_SSA BUJ_PH3,2026-09-03 01:24:07,10.121.24.72_KANDLA 2_TN703B_GJ_SSA BUJ_PH3,\e=46094,TN703B R2.9.2 Rev.B,10.121.24.72,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
888,\10.121.16.153_LIMBASI_TN703B_GJ_SSA NAD_PH3,2026-09-11 01:08:27,10.121.16.153_LIMBASI_TN703B_GJ_SSA NAD_PH3,\e=29745,TN703B R2.9.2 Rev.B,10.121.16.153,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
889,\10.121.16.151_Naika_TN703B_GJ_SSA NAD_PH3,2026-08-21 01:10:44,10.121.16.151_Naika_TN703B_GJ_SSA NAD_PH3,\e=29743,TN703B R2.9.2 Rev.B,10.121.16.151,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
890,\10.121.18.223_MAHATMA_TN703B_GJ_SSA AM_PH2,2026-08-01 01:24:01,10.121.18.223_MAHATMA_TN703B_GJ_SSA AM_PH2,\e=30059,TN703B R2.9.2 Rev.A,10.121.18.223,,2.9.1 Rev.A load2.9.1_p14,B1,2,,,
891,\10.121.20.8_VALSURA_TN705B_GJ_SSA JMN_PH3,2026-08-31 01:11:55,10.121.20.8_VALSURA_TN705B_GJ_SSA JMN_PH3,\e=29737,TN705B R2.9.2,10.121.20.8,,2.9.1 load2.9.1_p13,B1,0,,GJ_SSA JMN_PH3,
892,\10.121.16.152_TRAJ_TN703B_GJ_SSA NAD_PH3,2026-09-03 01:09:25,10.121.16.152_TRAJ_TN703B_GJ_SSA NAD_PH3,\e=29744,TN703B R2.9.2 Rev.B,10.121.16.152,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
